Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11098-MAD,Female,30,Yes,Madhya Pradesh,0,31,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,95.0999984741211,6683.39990234375,0,0,631.719970703125,7315.1201171875,Stayed,Others,Others
11114-PUN,Male,51,No,Punjab,5,9,Deal 5,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.150001525878906,169.0500030517578,0,10,122.37000274658203,301.4200134277344,Churned,Competitor,Competitor had better devices
11167-WES,Female,43,Yes,West Bengal,3,28,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,116.05000305175781,8297.5,42.56999969482422,110,1872.97998046875,10237.91015625,Stayed,Others,Others
11179-MAH,Male,35,No,Maharashtra,10,12,None,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,84.4000015258789,5969.2998046875,0,0,219.38999938964844,6188.68994140625,Stayed,Others,Others
11180-TAM,Male,75,Yes,Tamil Nadu,12,27,Deal 2,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,72.5999984741211,4084.35009765625,0,140,332.0799865722656,4556.43017578125,Stayed,Others,Others
11241-MAD,Female,41,Yes,Madhya Pradesh,4,11,None,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.0999984741211,3634.800048828125,0,0,95.87999725341797,3730.679931640625,Stayed,Others,Others
11244-JAM,Female,20,No,Jammu & Kashmir,3,9,None,Yes,Yes,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,76,1588.75,7.300000190734863,70,305.79998779296875,1957.25,Stayed,Others,Others
11251-UTT,Female,51,No,Uttarakhand,1,19,None,Yes,Yes,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.200000762939453,245.14999389648438,0,0,20.56999969482422,265.7200012207031,Stayed,Others,Others
11262-HAR,Female,73,Yes,Haryana,5,32,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0999984741211,95.0999984741211,0,0,4.889999866485596,99.98999786376953,Churned,Price,Price too high
11263-HAR,Female,41,No,Haryana,13,31,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.6500015258789,6311.2001953125,0,0,90.08999633789062,6401.2900390625,Stayed,Others,Others
11264-MAH,Female,27,Yes,Maharashtra,14,17,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-4,24.799999237060547,0,0,0,24.799999237060547,Churned,Dissatisfaction,Product dissatisfaction
11272-UTT,Female,65,No,Uttar Pradesh,0,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.8499984741211,256.6000061035156,0,0,133.02000427246094,389.6199951171875,Churned,Competitor,Competitor offered more data
11277-UTT,Male,66,Yes,Uttar Pradesh,10,23,None,Yes,No,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,54.79999923706055,731.2999877929688,0,0,136.6300048828125,867.9299926757812,Stayed,Others,Others
11288-MAD,Male,52,No,Madhya Pradesh,6,24,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.200000762939453,917.4500122070312,0,0,2112.320068359375,3029.77001953125,Stayed,Others,Others
11290-JAM,Female,70,Yes,Jammu & Kashmir,0,36,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.44999694824219,396.1000061035156,0,0,126.44000244140625,522.5399780273438,Churned,Competitor,Competitor made better offer
11301-WES,Female,31,No,West Bengal,7,5,Deal 3,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,51.54999923706055,1295.4000244140625,0,0,641.4199829101562,1936.8199462890625,Stayed,Others,Others
11310-RAJ,Female,78,Yes,Rajasthan,0,15,Deal 2,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,102.1500015258789,4735.35009765625,0,0,1535.4000244140625,6270.75,Stayed,Others,Others
11340-JAM,Female,21,No,Jammu & Kashmir,8,7,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.950000762939453,219.5,0,0,78.5999984741211,298.1000061035156,Stayed,Others,Others
11348-MAH,Female,46,No,Maharashtra,11,19,Deal 3,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,56.04999923706055,1522.6500244140625,0,110,1235.0799560546875,2867.72998046875,Stayed,Others,Others
11359-AND,Female,28,Yes,Andhra Pradesh,3,6,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,290.54998779296875,0,0,435.8399963378906,726.3900146484375,Stayed,Others,Others
11370-TAM,Female,21,No,Tamil Nadu,15,10,Deal 4,Yes,No,Yes,Cable,No,No,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,59.099998474121094,772.8499755859375,0,0,476.1400146484375,1248.989990234375,Stayed,Others,Others
11392-JAM,Female,39,Yes,Jammu & Kashmir,11,1,Deal 2,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,84.4000015258789,4484.0498046875,0,0,1655.6400146484375,6139.68994140625,Stayed,Others,Others
11392-KAR,Female,28,Yes,Karnataka,9,32,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,112.55000305175781,7806.5,0,0,235.2899932861328,8041.7900390625,Stayed,Others,Others
11410-AND,Male,80,No,Andhra Pradesh,1,4,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,101.55000305175781,5070.39990234375,0,0,1217.1600341796875,6287.56005859375,Stayed,Others,Others
11450-HAR,Male,60,Yes,Haryana,5,18,None,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,75.55000305175781,4707.85009765625,0,0,398.7900085449219,5106.64013671875,Stayed,Others,Others
11464-WES,Male,25,No,West Bengal,12,5,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8499984741211,1992.550048828125,0,0,522.0599975585938,2514.610107421875,Stayed,Others,Others
11472-PUN,Female,33,No,Punjab,8,6,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.400001525878906,55.400001525878906,0,0,13.010000228881836,68.41000366210938,Churned,Competitor,Competitor had better devices
11474-TEL,Male,59,Yes,Telangana,0,18,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.5999984741211,661.5499877929688,0,0,189.99000549316406,851.5399780273438,Stayed,Others,Others
11510-KER,Female,46,No,Kerala,10,4,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.9000015258789,827.4500122070312,0,0,277.20001220703125,1104.6500244140625,Stayed,Others,Others
11535-WES,Male,43,No,West Bengal,5,23,Deal 2,No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,58.75,3038.550048828125,0,0,0,3038.550048828125,Stayed,Others,Others
11540-DEL,Male,63,Yes,Delhi,15,15,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.0999984741211,5135.14990234375,0,0,2288.429931640625,7423.580078125,Stayed,Others,Others
11540-MAH,Female,50,Yes,Maharashtra,6,20,Deal 2,No,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,46.20000076293945,2431.949951171875,0,0,0,2431.949951171875,Stayed,Others,Others
